province,city,lon,lat,pop,consumption,product
Xinjiang,Tulufan,89.26602549,42.67892482,65.19,5179.90977,1726.232852
Xinjiang,Wulumuqi,87.62443994,43.8307632,266.83,37016.90429,6344.948877
Xinjiang,Yili,81.33053775,43.92272314,469.63,38594.81805,44584.99952
Yunnan,Baoshan,99.17727329,25.13903879,258.1,35461.46612,23822.55363
Yunnan,Chuxiong,101.5344125,25.05177357,273.3,42216.58302,31472.71451
Yunnan,Dali,100.2745828,25.61212842,354.4,57228.44082,36051.81691
Yunnan,Dehong,98.59135936,24.4380107,127.9,17785.81302,14327.55235
Yunnan,Diqing,99.70952999,27.82518468,40.8,5152.743492,1596.74285
Yunnan,Honghe,103.3815491,23.36999625,465,73174.23036,98122.09399
Yunnan,Kunming,102.8524484,24.87399815,667.7,177849.7269,108686.0227
Yunnan,Lijiang,100.2324645,26.86065744,128,17908.29645,6339.78422
Yunnan,Lincang,100.0954404,23.89046856,250.9,31719.02732,25191.46834
Yunnan,Nujiang,98.86328838,25.82370742,54.2,4671.21894,2608.42952
Yunnan,Puer,100.9725698,22.83097919,260.5,34955.09584,23056.04571
Yunnan,Qujing,103.8024348,25.49640693,604.7,102515.1223,58757.44511
Yunnan,Wenshan,104.222569,23.40599429,360.7,48255.2396,31302.61364
Yunnan,Xishuangbanna,100.8034468,22.01360125,116.4,18021.5436,7164.992341
Yunnan,Yuxi,102.5535603,24.35771094,236.2,45683.07488,62749.54547
Yunnan,Zhaotong,103.7235118,27.34408386,543,60922.95201,19694.40501
Zhejiang,Hangzhou,120.2155118,30.25308298,723.55,170274.5829,41812.16478
Zhejiang,Huzhou,120.0945166,30.89896394,263.71,45278.45145,53944.35804
Zhejiang,Jiaxing,120.7635518,30.75097483,349.48,60866.08665,54017.07228
Zhejiang,Jinhua,119.6534362,29.08463939,478.09,84510.1421,24517.26063
Zhejiang,Lishui,119.9295731,28.47327818,213.9,30686.87441,13593.4243
Zhejiang,Ningbo,121.6285725,29.86603305,586.57,119172.279,18917.96871
Zhejiang,Quzhou,118.8665967,28.9755458,256.38,29380.58842,48087.01926
Zhejiang,Shaoxing,120.5854785,30.03636931,443.11,82597.35084,20010.16022
Zhejiang,Taizhou-Zj,121.4274347,28.66219406,597.49,110983.0136,21738.74909
Zhejiang,Wenzhou,120.7064769,28.0010854,811.21,156861.0495,28550.68394
Zhejiang,Zhoushan,122.2135563,29.99091168,97.36,19566.36007,1633.262285
Chongqing,Chongqing,106.5584342,29.56899625,3016.55,1057524,667541.9959
